"id","price_doc"
30474,5860488
30475,8373903
30476,5815323.5
30477,5992798
30478,5302284
30479,10439270
30480,4565996
30481,4409930
30482,5084499.5
30483,4899782.5
30484,6772392.5
30485,5606958.5
30486,4039050
30487,3905806.75
30488,6537881.5
30489,6270735.5
30490,22928232
30491,20323880
30492,6099701.5
30493,14645282
30494,7211107
30495,11397620
30496,8796058
30497,8707824
30498,5021234
30499,8105075.5
30500,11963838
30501,7204763
30502,3392667.75
30503,7172363
30504,6183118.5
30505,11125152
30506,3508491.25
30507,5135380
30508,5826227.5
30509,7992032.5
30510,9718098
30511,6709954
30512,7096213
30513,4520449
30514,3710402.75
30515,10139426
30516,6241154.5
30517,11794604
30518,9494198
30519,4901505
30520,7442065.5
30521,6288043
30522,7724317.5
30523,6916204.5
30524,11130088
30525,11826302
30526,5213835.5
30527,5613138.5
30528,7063186
30529,7135358
30530,6426753
30531,14356934
30532,5056852.5
30533,10852388
30534,7383392
30535,9729912
30536,6066563
30537,12746556
30538,5002898
30539,8172900.5
30540,10087096
30541,6159147
30542,2348596.25
30543,5959844
30544,7509182.5
30545,9243102
30546,4362064.5
30547,10053646
30548,4801712
30549,5533723
30550,12419576
30551,5599852
30552,1998688.75
30553,8046515.5
30554,11305164
30555,6685830
30556,9478556
30557,8620180
30558,9865864
30559,7040461.5
30560,6653295.5
30561,7390384.5
30562,12801266
30563,5870595
30564,8046398
30565,7441905.5
30566,7365346
30567,2180637.75
30568,10846282
30569,10218460
30570,7086623
30571,7735388
30572,5295732.5
30573,6746332
30574,6550644.5
30575,8246981.5
30576,4907788.5
30577,4473711.5
30578,3434824.5
30579,7498410
30580,4877705.5
30581,5511807.5
30582,12600664
30583,7292993
30584,4846161.5
30585,3007144.5
30586,9112054
30587,6319101
30588,8908856
30589,8191072.5
30590,13550280
30591,5663957
30592,7159557.5
30593,8055494.5
30594,7052653.5
30595,5853293
30596,7142690.5
30597,6752258
30598,10130564
30599,11493824
30600,5668224
30601,6483181.5
30602,1824104
30603,12728570
30604,4849811
30605,6778090.5
30606,25536354
30607,7134402
30608,8723948
30609,6297973
30610,3362198.25
30611,5836504
30612,7631578
30613,8341785.5
30614,19397108
30615,8182009.5
30616,5945354.5
30617,9877878
30618,5339504
30619,4602329.5
30620,2919523.75
30621,9523412
30622,9263396
30623,6545153
30624,7076979
30625,8240469
30626,6874300
30627,7533831
30628,6568960
30629,5522250.5
30630,5334929.5
30631,6523676
30632,4375134.5
30633,6609743
30634,12050644
30635,10187314
30636,5638808
30637,10018604
30638,6393617
30639,8176623
30640,4852925
30641,8355178
30642,6811995.5
30643,8574534
30644,10114130
30645,7623473.5
30646,5557868
30647,5202146
30648,27183366
30649,2553359.75
30650,5334644.5
30651,3544518.75
30652,4695955
30653,8050664.5
30654,4879329.5
30655,13920074
30656,4036169.75
30657,6401919.5
30658,10715784
30659,5134786
30660,8898624
30661,6817491
30662,9446242
30663,17607536
30664,14158632
30665,6275887.5
30666,2999285.25
30667,4634019.5
30668,9107188
30669,4993055
30670,2785960.75
30671,8086418
30672,16028160
30673,11434790
30674,12014048
30675,2254402.25
30676,7500203
30677,4607371
30678,19449874
30679,6430691.5
30680,5766843.5
30681,2676871.5
30682,8751614
30683,10160542
30684,5519783.5
30685,7837464.5
30686,10137300
30687,5366141.5
30688,4994996
30689,15053640
30690,28491112
30691,4881260
30692,6488088.5
30693,12059634
30694,6055519
30695,7300298
30696,7174212
30697,12849442
30698,8312952
30699,6048395
30700,5270124.5
30701,10060092
30702,6329336
30703,3969364
30704,11870870
30705,9068072
30706,25604364
30707,3934818.75
30708,14617870
30709,6247931.5
30710,7704400
30711,4855491
30712,4220924.5
30713,6690550.5
30714,8001736.5
30715,4144289.25
30716,10251834
30717,6765702
30718,10703126
30719,14424050
30720,7591137
30721,5218096.5
30722,7648728.5
30723,6544562
30724,12090540
30725,7307585.5
30726,12389356
30727,10106328
30728,12489170
30729,3627554.25
30730,6673132
30731,6697757
30732,4866610
30733,10524442
30734,7336155
30735,5789382
30736,6451507
30737,7817467
30738,6960472
30739,4581066
30740,7384430
30741,11215444
30742,4471359
30743,5362397.5
30744,10070232
30745,7540639
30746,5946531
30747,17115156
30748,16480002
30749,5932213
30750,6818771
30751,3341725.25
30752,7697529
30753,9967850
30754,6168187.5
30755,5443431.5
30756,6368637
30757,5562012.5
30758,11125584
30759,6540232
30760,4829428.5
30761,10219678
30762,6909260.5
30763,12283042
30764,6459339.5
30765,6342345.5
30766,3831672.75
30767,10293246
30768,4831055.5
30769,7766693
30770,6239000.5
30771,3117292.5
30772,8753554
30773,8559806
30774,5937162.5
30775,13122538
30776,6263393
30777,6452190.5
30778,9563632
30779,6812400.5
30780,8051416
30781,6905213
30782,5349522
30783,5824993
30784,3878717.75
30785,5845561.5
30786,4454525
30787,6601480.5
30788,5989361.5
30789,8029230.5
30790,7134838.5
30791,10512918
30792,7604984.5
30793,14178972
30794,12967336
30795,11216278
30796,11434706
30797,14643296
30798,3114807.5
30799,11340880
30800,15552568
30801,6584313
30802,22288176
30803,3059114.5
30804,4078307.25
30805,16683978
30806,7580062
30807,6441697
30808,11165962
30809,5225200
30810,11846804
30811,4658217
30812,5866252.5
30813,5646980.5
30814,2964481.5
30815,4228300.5
30816,8142734
30817,1967991.375
30818,8122336.5
30819,8670630
30820,5410023
30821,29076482
30822,9164526
30823,8656360
30824,3644353.25
30825,5687960.5
30826,11408628
30827,5811811
30828,6168395.5
30829,6230919
30830,9218728
30831,7260390
30832,6063844.5
30833,5598493.5
30834,4226122
30835,8227875.5
30836,7036017.5
30837,5247001
30838,4841715.5
30839,6444486.5
30840,11434782
30841,16105610
30842,8030464
30843,5840468.5
30844,6710350
30845,10506524
30846,4825359
30847,6330950
30848,8681456
30849,4686093.5
30850,4104124.75
30851,5414536.5
30852,7143269.5
30853,4792511
30854,6549528
30855,7643520
30856,9233044
30857,2613574
30858,4644577.5
30859,6241855.5
30860,6432988.5
30861,9623156
30862,6899840
30863,6000130
30864,6787588.5
30865,10431364
30866,6980504
30867,6381992
30868,9440022
30869,6267626
30870,5491320.5
30871,9191894
30872,5384293
30873,4233083
30874,5245234.5
30875,6907210
30876,5377739
30877,9957342
30878,6043709
30879,12400182
30880,6632032
30881,1942840.75
30882,10979706
30883,3994305.75
30884,6122599.5
30885,5420521
30886,7859029
30887,6126150.5
30888,4948670.5
30889,5973572
30890,7785386
30891,3828757
30892,3927174.75
30893,4691164.5
30894,6170044
30895,4567700.5
30896,6678703
30897,8111388
30898,7416356
30899,7053667.5
30900,3738290.75
30901,7203201.5
30902,2143223.25
30903,7715430.5
30904,7970982.5
30905,6116345
30906,6795861.5
30907,13646292
30908,4468294.5
30909,12453402
30910,7693882.5
30911,4697337.5
30912,7013771
30913,23808406
30914,6713514
30915,7746093
30916,5948779.5
30917,8869580
30918,7067640.5
30919,5362548
30920,5202665.5
30921,4251683.5
30922,6224704.5
30923,4093843.75
30924,5699805.5
30925,15093050
30926,7092064.5
30927,7761557
30928,5380996.5
30929,5678718
30930,11373012
30931,11708504
30932,5365930
30933,5053091.5
30934,14738394
30935,7391979.5
30936,7484124
30937,9065882
30938,4588664
30939,10219212
30940,7117557.5
30941,6196172.5
30942,4142458
30943,6971647
30944,5413845
30945,3647831
30946,13982664
30947,7562619
30948,8537282
30949,6674391
30950,6847568.5
30951,16139820
30952,8290538.5
30953,10740324
30954,5158361.5
30955,7181363
30956,7430941
30957,6090871.5
30958,34642164
30959,8596440
30960,8425580
30961,9580838
30962,11690858
30963,4129037.75
30964,4953274
30965,7232645.5
30966,12436954
30967,12090310
30968,3289032.25
30969,3926139.25
30970,6679761.5
30971,11144578
30972,4136821.25
30973,5551106.5
30974,5416275.5
30975,8167123
30976,5577728.5
30977,7397290
30978,8224111
30979,4130438.25
30980,7100971.5
30981,6146217
30982,6960606.5
30983,4208342.5
30984,6128576.5
30985,3777021.75
30986,10364952
30987,9848748
30988,7089656.5
30989,8284674.5
30990,13217788
30991,9443190
30992,3214038.75
30993,7986162
30994,5633573.5
30995,7477900.5
30996,6056098.5
30997,7340295.5
30998,6479224.5
30999,7296907.5
31000,8696926
31001,6764708.5
31002,9191354
31003,9873216
31004,4416025
31005,2933605.5
31006,8270604
31007,5779488.5
31008,5889064.5
31009,7071208.5
31010,6686011.5
31011,4503669.5
31012,6285878
31013,7431537.5
31014,17401924
31015,8349385
31016,4430858
31017,9782192
31018,5582305
31019,4744294
31020,7681770
31021,12385166
31022,21714470
31023,10466866
31024,5223285.5
31025,6724538
31026,6277928.5
31027,4672272.5
31028,3907593.25
31029,9134372
31030,7545692
31031,8987502
31032,9786686
31033,8819740
31034,7701299.5
31035,10160026
31036,7038280.5
31037,27534738
31038,4463386
31039,10080564
31040,6460935
31041,4335237.5
31042,3660627.25
31043,6663861.5
31044,9564136
31045,7529308.5
31046,14133846
31047,8870792
31048,6655637
31049,5214937.5
31050,8111107
31051,6686623.5
31052,4176731.25
31053,17341704
31054,6655809.5
31055,6088881.5
31056,12868402
31057,5615317
31058,7314044
31059,3183957.25
31060,7345598
31061,6871840.5
31062,6997220
31063,4277558
31064,5460513.5
31065,10797838
31066,4636314.5
31067,8720374
31068,4328870.5
31069,4940462
31070,5224575
31071,3930410.75
31072,9321270
31073,1942840.75
31074,7446187.5
31075,7117581
31076,7115361.5
31077,5983185
31078,4375107.5
31079,5362744.5
31080,6826600
31081,3224163.75
31082,11717600
31083,5299671
31084,9679464
31085,11582250
31086,3930313
31087,5193252.5
31088,8656062
31089,6645179.5
31090,33515120
31091,3637928.25
31092,7316933
31093,6351254.5
31094,6628634.5
31095,5109020
31096,21582240
31097,10939210
31098,11072940
31099,20717982
31100,5194740.5
31101,4101965.25
31102,6348698
31103,11890930
31104,5853059.5
31105,9026866
31106,4707445
31107,11366778
